                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                 2.6866,                  1.973,                 1.6075,                0.36567,                0.30348,                0.24274,                0.09387,                 2.5906,                 1.8626,                 1.5542,              0.0011288,              0.0011288,              0.0011288
                     47,                 2.7275,                 1.9412,                 1.6015,                0.36758,                0.30706,                0.24654,                0.09736,                 2.5506,                 1.8957,                 1.5307,               0.001109,               0.001109,               0.001109
                     48,                 2.7801,                 1.9852,                 1.5075,                0.34948,                0.30766,                 0.2503,                0.09018,                 2.6108,                 1.9308,                 1.5277,              0.0010892,              0.0010892,              0.0010892
                     49,                 2.7519,                   1.93,                  1.519,                0.37123,                0.30502,                0.25309,                0.09016,                 2.5987,                 1.9129,                 1.5152,              0.0010694,              0.0010694,              0.0010694
                     50,                 2.7235,                 2.0268,                 1.5771,                0.38187,                0.31363,                0.24821,                 0.0903,                  2.569,                 1.9111,                 1.4999,              0.0010496,              0.0010496,              0.0010496
                     51,                 2.7546,                 1.9325,                 1.5076,                0.38317,                0.31474,                0.25516,                0.09476,                 2.5581,                 1.9093,                 1.4961,              0.0010298,              0.0010298,              0.0010298
                     52,                 2.6257,                 1.8042,                 1.4264,                0.36282,                0.30962,                0.25481,                0.09663,                 2.5559,                 2.1039,                 1.4837,                0.00101,                0.00101,                0.00101
                     53,                 2.6706,                 1.9784,                 1.4884,                0.35921,                0.30962,                0.25435,                0.09744,                 2.5342,                 2.0179,                 1.5025,              0.0009902,              0.0009902,              0.0009902
                     54,                 2.6765,                 1.8456,                 1.4633,                0.33921,                0.26714,                0.22271,                0.08637,                 2.5447,                 1.9077,                 1.5774,              0.0009704,              0.0009704,              0.0009704
                     55,                 2.5779,                 1.8911,                 1.5047,                0.35399,                0.26049,                0.21934,                0.08475,                 2.5625,                 1.9155,                 1.5804,              0.0009506,              0.0009506,              0.0009506
                     56,                 2.6511,                 1.8968,                 1.5049,                0.36849,                0.29324,                0.24723,                0.09419,                 2.5201,                 1.8488,                 1.5423,              0.0009308,              0.0009308,              0.0009308
                     57,                 2.5896,                 1.8204,                 1.4725,                0.37258,                0.32293,                0.26397,                0.10326,                 2.4793,                 1.8271,                  1.508,               0.000911,               0.000911,               0.000911
                     58,                 2.6216,                 1.9514,                 1.4916,                0.38848,                 0.3173,                0.26459,                0.10384,                 2.5028,                 1.8714,                  1.496,              0.0008912,              0.0008912,              0.0008912
                     59,                 2.5751,                 1.8156,                 1.4776,                 0.3967,                 0.3347,                0.27666,                0.10923,                 2.4801,                 1.8356,                 1.4868,              0.0008714,              0.0008714,              0.0008714
                     60,                 2.5581,                 1.7699,                 1.4996,                0.39821,                0.31218,                0.26421,                0.10713,                 2.4375,                 1.8937,                 1.4789,              0.0008516,              0.0008516,              0.0008516
                     61,                 2.6395,                 1.9404,                 1.5414,                0.39672,                0.31986,                0.26428,                0.10571,                 2.4494,                 1.9054,                 1.4743,              0.0008318,              0.0008318,              0.0008318
                     62,                 2.6514,                 1.8022,                 1.4767,                 0.3878,                0.31934,                0.26191,                0.10015,                  2.513,                 1.9012,                 1.4795,               0.000812,               0.000812,               0.000812
                     63,                 2.5602,                 1.8543,                 1.4716,                0.38146,                0.31781,                0.26321,                 0.1009,                 2.5052,                 1.8631,                 1.4802,              0.0007922,              0.0007922,              0.0007922
                     64,                 2.5699,                 1.7628,                 1.4254,                0.42249,                0.32139,                0.28157,                 0.1129,                 2.4623,                  1.808,                 1.4754,              0.0007724,              0.0007724,              0.0007724
                     65,                 2.5862,                 1.8207,                 1.4711,                0.42824,                0.32293,                0.28838,                0.11596,                 2.4489,                  1.798,                  1.462,              0.0007526,              0.0007526,              0.0007526
                     66,                 2.5306,                 1.7962,                 1.4416,                 0.4152,                0.32139,                0.29048,                0.11853,                  2.398,                 1.8008,                 1.4283,              0.0007328,              0.0007328,              0.0007328
                     67,                 2.5671,                 1.7914,                 1.4534,                 0.4046,                0.31934,                0.28982,                0.11374,                  2.425,                 1.7965,                 1.4278,               0.000713,               0.000713,               0.000713
                     68,                 2.6297,                 1.7954,                 1.4491,                 0.3983,                0.33214,                0.28834,                0.10758,                 2.4423,                 1.7828,                 1.4232,              0.0006932,              0.0006932,              0.0006932
                     69,                 2.5148,                   1.77,                  1.422,                0.42785,                0.33265,                0.29575,                0.11457,                  2.407,                 1.7631,                 1.4231,              0.0006734,              0.0006734,              0.0006734
                     70,                   2.58,                 1.8234,                 1.4462,                0.42867,                0.33675,                0.30614,                0.12336,                  2.405,                 1.7144,                 1.4336,              0.0006536,              0.0006536,              0.0006536
